a	Một
transeunt	chuyển tiếp
transfer	chuyển khoản
transferability	khả năng chuyển nhượng
transference	Sự chuyển di
transferred	chuyển nhượng
transfiguration	Sự biến hình
transfigure	biến hình
transfix	chuyển đổi
transfixed	xuyên qua
transforation	sự chuyển hóa
transform	biến đổi
transformation	chuyển đổi
transformed	biến đổi
transformer	máy biến thế
transfuse	truyền máu
transfusion	truyền máu
transgfress	chuyển giới
transgress	vi phạm
transgression	vi phạm
transgressive	quá khích
transgressor	người vi phạm
transi	quá cảnh
transience	nhất thời
transient	tạm thời
transiently	thoáng qua
transientness	sự nhất thời
transilience	tính nhất thời
transiliency	tính nhất thời
transillumination	sự chiếu sáng
transistor	bóng bán dẫn
transistorized	bị bán dẫn
transit	quá cảnh
transition	chuyển tiếp
transitional	chuyển tiếp
transitionally	chuyển tiếp
transitive	Bắc cầu
transitively	chuyển tiếp
transitivity	tính bắc cầu
transitorily	tạm thời
transitory	nhất thời
transitu	quá cảnh
translatable	dịch được
translate	dịch
translation	dịch
translational	tịnh tiến
translator	người phiên dịch
transliteration	phiên âm
translocation	sự chuyển vị
translucence	sự trong mờ
translucency	độ trong suốt
translucent	mờ
translumination	sự truyền sáng
translunar	xuyên âm
transmarine	xuyên biển
transmigration	luân hồi
transmission	quá trình lây truyền
transmit	chuyển giao
transmittance	truyền qua
transmitted	truyền đi
transmitter	hệ thống điều khiển
transmogrification	chuyển hóa
transmogrify	chuyển hóa
transmundane	xuyên thế giới
transmutation	sự biến đổi
transmute	biến đổi
transmuted	biến đổi
transoceanic	xuyên đại dương
transom	cây ngang
transparence	minh bạch
transparency	minh bạch
transparent	trong suốt
transparently	minh bạch
transpicuous	trong suốt
transpierce	xuyên qua
transpiration	thoát hơi nước
transpire	lộ ra
transpiring	thoáng qua
transplace	thay thế
transplacental	xuyên nhau thai
transplant	cấy
transplantable	cấy được
transplantation	cấy ghép
transplendency	trong suốt
transplendent	trong suốt
transpolar	xuyên cực
transponder	bộ phát đáp
transpontine	bên kia sông
transport	chuyên chở
transportation	vận tải
transported	vận chuyển
transporter	người vận chuyển
transposal	chuyển vị
transpose	hoán vị
transposition	chuyển vị
transsexual	chuyển đổi giới tính
transsexual(a)	chuyển đổi giới tính(a)
transshipment	trung chuyển
transubstantiation	biến thể
transudation	dịch tiết
transude	xuyên âm
transume	chuyển hóa
transumption	truyền tải
transvaal	xuyên âm
transversal	ngang
transversalis	ngang
transverse	ngang
transversely	theo chiều ngang
transversion	chuyển đổi
transvestic	xuyên suốt
transvestism	chủ nghĩa chuyển giới
transvestite	người chuyển giới
tranter	người dẫn đường
trap	cạm bẫy
trapa	cái bẫy
trapaceae	họ bẫy
trapan	cái bẫy
trapdoor	cửa sập
trapes	bẫy
trapeze	đu quay
trapezium	hình thang
trapezohedron	hình thang
trapezoid	hình thang
trapezoidal	hình thang
trapper	người đánh bẫy
trapping	gài bẫy
trappings	bẫy
trappist	thợ săn
traps	bẫy
trapshooter	người bắn bẫy
trash	rác
trashy	rác rưởi
traulism	chủ nghĩa traulism
trauma	tổn thương
traumatic	chấn thương
traumatophobia	chứng sợ chấn thương
trautvetteria	vết thương lòng
travail	sự vất vả
trave	du lịch
travel	du lịch
travel-soiled	du lịch bẩn
travel-worn	mặc đi du lịch
traveled	đi du lịch
traveler	lữ khách
travelers	Du khách
traveling	đi du lịch
travellers	Du khách
travelogue	tạp chí du lịch
travels	du lịch
travelstained	đi du lịch
travers	người đi đường
traversable	có thể đi qua
traversal	đi ngang qua
traverse	đi qua
travess	đi ngang qua
travestie	lễ phục
travesty	trò hề
travis	travis
trawl	lưới kéo
trawler	tàu đánh cá
tray	cái mâm
treacherous	bội bạc
treachery	phản bội
treacle	mật đường
tread	bước đi
treadle	bàn đạp
treadmill	máy chạy bộ
treads	bước đi
treason	phản quốc
treasure	kho báu
treasurer	thủ quỹ
treasurership	thủ quỹ
treasures	Châu báu
treasuretrove	kho tàng
treasuries	kho bạc
treasury	kho bạc
treat	đối xử
treated	điều trị
treatise	khái niệm
treatment	sự đối đãi
treaty	hiệp ước
treble	cú ăn ba
trebleness	sự gấp ba
trebly	âm ba
trebucbet	trebucbet
trebuchet	trebuchet
trebucket	cái xô tre
trebuket	trebuket
trecento	trecento
trecker	kẻ lừa đảo
tree	cây
treehopper	cây rầy
treenail	móng tay
trees	cây
trefoil	cây tam thất
trek	hành trình
trekker	người đi bộ
trellis	lưới mắt cáo
trematoda	sán lá
tremble	run rẩy
trembles	run rẩy
trembling	run sợ
tremblingly	run rẩy
tremella	tremella
tremellaceae	tremellaceae
tremellales	tremellales
tremellose	run rẩy
tremendous	to lớn
tremendously	rất nhiều
tremens	run rẩy
tremolite	tremolite
tremolo	tremolo
tremor	sự rung chuyển
tremulous	run
tremulously	run rẩy
trench	mương
trenchang	rãnh
trenchant	hào kiệt
trenchantly	hào hùng
trencher	đào hào
trenches	chiến hào
trenchfoot	rãnh
trend	xu hướng
trend-setter	người thiết lập xu hướng
trending	xu hướng
trendsetting	thiết lập xu hướng
trendy	hợp thời trang
trennel	đường hầm
trenton	treton
trepan	cai khoan xương
trepang	trepang
trephination	trephination
trepidat	lo lắng
trepidation	sự lo lắng
treponema	treponema
treponemataceae	treponemataceae
tres	tres
trespass	xâm phạm
tress	cây leo
tresspass	cầu vượt
trestle	cái giàn
trestlework	giàn giáo
tret	tret
trevet	trevet
trews	trews
trey	trey
tri-iodothyronine	tri-iodothyronine
tria	tria
triad	bộ ba
triadelphous	tam bội
triadie	bộ ba
triaenodon	triaenodon
triage	phân loại
triakidae	triakidae
trial	sự thử nghiệm
trial-and-error	phep thử va lôi sai
trialeurodes	dùng thử
triality	thử nghiệm
trialogue	phiên tòa xét xử
triamcinolone	triamcinolone
triangle	Tam giác
triangular	hình tam giác
triangularity	tam giác
triangulate	hình tam giác
triangulation	tam giác
triarch	tộc trưởng
triarchy	chế độ tam quyền
triassic	trias
triatoma	ba khối u
tribadistic	theo chủ nghĩa ba hoa
tribal	bộ tộc
tribalism	chủ nghĩa bộ lạc
tribe	bộ lạc
tribes	bộ lạc
tribesman	người bộ lạc
tribolium	tribolium
triboloby	bộ lạc
tribologist	nhà nghiên cứu về bộ lạc
tribonema	bệnh ba xương
tribonemaceae	Tribonemaceae
tribromoethanol	tribromoethanol
tribuens	tòa án
tribulation	hoạn nạn
tribulus	bạch tật lê
tribunal	tòa án
tribune	tòa án
tribuneship	quan tòa
tributary	phụ lưu
tribute	cống vật
tributyrin	tributyrin
tricapsular	ba nang
trice	trice
tricentenary	ba trăm năm
triceps	cơ tam đầu
triceratops	ba sừng
trichechidae	trichechidae
trichechus	trùng roi
trichion	trichion
trichiuridae	trichiuridae
trichloride	triclorua
trichoceros	trichoceros
trichodesmium	trichodesmium
trichodontidae	trichodontidae
trichogenous	trichogenous
trichoglossus	trichoglossus
trichoid	trichoid
tricholoma	bệnh trichoma
tricholomataceae	tricholomataceae
trichomanes	trichomanes
trichomonad	trichomonad
trichomoniasis	trichomonas
trichophaga	trichophaga
trichophyton	trichophyton
trichoptera	bọ cánh cứng
trichosis	bệnh trichosis
trichostema	bệnh trichosma
trichosurus	trichosurus
trichotillomania	chứng cuồng ăn tóc
trichotomous	ba hoa
trichotomy	sự chọc ghẹo
trichroism	ba màu
trichromatic	ba màu
trichys	trichys
trick	lừa
tricked	bị lừa
tricked-out	bị lừa
trickery	mưu mẹo
trickle	nhỏ giọt
trickly	khéo léo
tricks	thủ thuật
trickster	kẻ lừa bịp
tricksy	thủ đoạn
tricky	khó khăn
triclinic	ba phòng khám
tricolor	ba màu
tricorn	tricorn
tricot	tricot
tricuspid	ba lá
tricycle	ba bánh
tricyclic	ba vòng
tridacna	tridacna
tridacnidae	tridacnidae
trident	đinh ba
tridental	tam giác
tridentate	tridentate
tridentiferous	có ba lá
tridymite	tridymit
tried	đã thử
triennial	ba năm một lần
triennium	tam niên
trier	người thử
trifid	tri kỷ
trifle	chuyện lặt vặt
trifled	chuyện lặt vặt
trifler	đồ lặt vặt
trifles	những chuyện lặt vặt
trifling	chuyện lặt vặt
trifoliate	có ba lá
trifolium	hoa tam thất
triform	hình tam giác
trifurcate	chia ba
trifurcation	tam phân
trig	trig
triga	triga
trigamy	ba vợ chồng
trigeminal	sinh ba
trigger	cò súng
trigger-happy	kích hoạt Hạnh phúc
triggerfish	cá cò
triglidae	triglidae
triglinae	triglinae
triglochin	triglochin
triglyceride	chất béo trung tính
trigness	trigness
trigon	tam giác
trigonal	tam giác
trigonella	trigonella
trigonometric	lượng giác
trigonometrician	lượng giác
trigonometry	lượng giác
trigram	bát quái
trigrammatic	bát quái
trigrammic	bát quái
trigraph	tam đồ
trikumia/	trikumia/
trilateral	ba bên
trilingual	ba thứ tiếng
trilisa	trilisa
trill	trill
trilliaceae	trillaceae
trillion	nghìn tỷ
trillionth	phần nghìn tỷ
trillium	trili
trills	trill
trilobate	ba thùy
trilogistic	bộ ba
trilogy	bộ ba tác phẩm
trim	cắt tỉa
trimaran	trimaran
trimer	tông đơ
trimester	khoảng ba tháng
trimly	tỉa tót
trimmed	cắt tỉa
trimmer	tông đơ
trimming	cắt tỉa
trimorphodon	trimorphodon
trimotored	ba động cơ
trimurti	trimurti
trinal	dùng thử
trine	tri âm
trinectes	triectes
tringa	tringa
trinidad	Trinidad
trinidadian	Trinidad
trininty	ba ngôi
trinitarian	ba ngôi
trinitarianism	chủ nghĩa ba ngôi
trinity	ba ngôi
trinket	nữ trang
trinkgeld	trinkgeld
trinomial	tam thức
trinormial	tam thức
trio	bộ ba
triode	ba cực
triolein	triolein
trionychidae	trionychidae
trionym	bộ ba từ
trionyx	trionyx
triopidae	triopidae
triops	bộ ba
triostium	triostium
trioxide	triôxit
trip	chuyến đi
tripalmitin	tripalmitin
tripartite	ba bên
tripartition	ba bên
tripe	lòng
tripetalous	sinh ba
triphammer	ba búa
triphosphopyridine	triphosphopyridin
triphthong	tam thông
tripinnate	sinh ba lần
tripinnatifid	tripinnatifid
triplane	ba tầng cánh
triple	gấp ba lần
triple-crown	ba vương miện
triple-spacing	ba khoảng cách
triplet	sinh ba
tripletail	đuôi ba
tripleurospermum	tripleurospermum
triplicate	ba lần
triplication	ba lần
triplicity	ba lần
tripling	tăng gấp ba lần
triplochiton	tam bội
triplopia	ba lần
tripod	giá ba chân
tripodal	ba chân
tripodic	ba chân
tripoli	thủ đô
tripos	ba chân
tripotage	ba chân
tripper	cái móc
tripping	vấp ngã
trippingly	vấp ngã
tripsis	vấp ngã
triptolemus	bộ ba
triptych	bộ ba
triquetral	ba phương
triquetrous	ba hoa
trireme	bộ ba
trisaccharide	trisacarit
trisagion	tam giác
trisect	tam giác
trisected	chia làm ba
trisection	ba phần
triseme	bộ ba
triskaidekaphobia	triskaidekaphobia
triskaidekaphobic	triskaidekaphobic
triskele	ba ba
triskelion	triskelion
trismus	cứng hàm
tristan	tristan
triste	triste
tristearin	tristearin
tristem	bộ ba
tristful	ba hoa
trisula	trisula
trisulcate	trisulcate
trisyllable	có ba âm tiết
tritanopia	tritanopia
tritanopic	tritanopic
trite	tầm thường
tritely	một cách vụn vặt
triteness	tầm thường
tritheism	thuyết tam thần
tritheist	người theo thuyết tam thần
triticum	triticum
triton	triton
triturate	triturate
trituration	sự mài mòn
triturus	triturus
triumliterarum	triumliterarum
triump	chiến thắng
triumph	chiến thắng
triumphal	khải hoàn
triumphant	đắc thắng
triumphantly	đắc thắng
triumphe	khải hoàn
triumphum	chiến thắng
triumvir	tam hùng
triumvirate	Tam đầu chế
triune	ba ngôi
triunity	ba ngôi
trivalent	hóa trị ba
trivere	trivere
trivet	trivet
trivia	chuyện vặt vãnh
trivial	không đáng kể
triviality	tầm thường
trivially	tầm thường
troat	troat
trocar	trocar
trocha	trocha
trochaic	trochaic
trochee	trochee
trochilic	trochilic
trochilics	trochilic
trochilidae	trochilidae
trochlear	trochlear
troes	tro
trogium	trogium
troglodyte	người ở hang
troglodytes	troglodyte
troglodytic	troglodytic
troglodytidae	troglodytidae
trogon	trogon
trogonidae	trogonidae
trogoniformes	bộ trogoniformes
troika	troika
troilus	troilus
trojan	trojan
troll	chơi khăm
trolley	xe đẩy
trolleybus	xe đẩy
trollius	trollius
trollop	trollop
trombicula	trombicula
trombiculiasis	bệnh giun chỉ
trombiculidae	trombiculidae
trombiculiid	trombiculiid
trombidiid	trombidiid
trombidiidae	trombidiidae
trombone	kèn trombone
trombonist	nghệ sĩ kèn trombonist
tromp	tromp
trompillo	trompillo
trondheim	trondheim
troop	đoàn quân
trooper	quân nhân
troops	quân đội
troopship	quân đội
trop	nhiệt đới
tropaeolaceae	tropaeolaceae
tropaeolum	nhiệt đới
trope	phép ẩn dụ
trophonius	trophonius
trophoplasm	trophoplasm
trophotropic	hướng nhiệt
trophotropism	tính hướng dưỡng
trophozoite	thể tư dưỡng
trophy	chiếc cúp
tropic	nhiệt đới
tropical	nhiệt đới
tropically	nhiệt đới
tropidoclonion	nhiệt đới
tropism	chủ nghĩa nhiệt đới
troponym	từ đồng nghĩa
troponymy	đồng nghĩa
tropopause	đương nhiệt đới
troposphere	tầng đối lưu
troppo	tropo
trot	trót lọt
troth	troth
trothless	không có nước bọt
trotter	người chạy lúp xúp
trotters	người chạy lúp xúp
trottoir	người chạy nước kiệu
trou-de-loup	trou-de-loup
troubadour	người hát rong
trouble	rắc rối
trouble-free	không rắc rối
troubled	rắc rối
troublemaker	kẻ gây rối
troubles	rắc rối
troubleshooter	trình khắc phục sự cố
troublesome	khó khăn
troublesomeness	rắc rối
troublous	rắc rối
trough	máng
trounce	vượt qua
troupe	đoàn kịch
trouser	quần dài
trousers	quần dài
trousseau	quần áo
trout	cá hồi
trouvaille	người hát rong
trouvere	hát rong
trovato	trovato
trove	kho báu
trover	trover
trow	trow
trowel	bay
trowsers	quần dài
troy	troy
truancy	trốn học
truant	trốn học
truce	đình chiến
trucidation	sự cắt đứt
truck	xe tải
truckle	xe tải
trucklebed	xe tải
truckler	người lái xe tải
truckling	xe tải
truckman	người lái xe tải
truculence	sự hung dữ
truculent	hung dữ
truculently	một cách thô bạo
trudge	lê bước
truditur	truditur
TRUE	ĐÚNG VẬY
true(a)	đúng (a)
true-blue	màu xanh thật
true-false	đúng sai
true-to-life(a)	chân thực (a)
truehearted	chân thật
truelove	tình yêu đích thực
trueness	sự thật
truepenny	đồng xu thật
truffle	nấm cục
truism	chân lý
trulgus	trulgus
trull	trull
truly	thực sự
truman	truman
trump	kèn
trumped	át chủ bài
trumped-up(a)	vượt trội (a)
trumpery	tiếng kèn
trumpet	kèn
trumpeter	người thổi kèn
trumpetfish	cá loa kèn
trumpets	kèn
trumpettoned	thổi kèn
trumpettongued	kèn trumpet
trumpetwood	cây loa kèn
trumps	át chủ bài
truncate	cắt bớt
truncated	cắt ngắn
truncheon	dùi cui
truncocolumella	truncocolumella
trundle	chạy ì ạch
trunk	Thân cây
trunkmaker	thợ đóng hòm
trunnion	cái trục
truss	giàn
trussed	giàn
trust	lòng tin
trustee	người được ủy thác
trustful	đáng tin cậy
trustfully	một cách đáng tin cậy
trusting	tin tưởng
trustless	không đáng tin cậy
trustworthiness	đáng tin cậy
trustworthy	đáng tin cậy
trusty	đáng tin cậy
truth	sự thật
truthful	trung thực
truthfully	trung thực
truthfulness	trung thực
truthless	không trung thực
truthloving	chân thật
trutination	sự cắt bỏ
try	thử
trying	cố gắng
trypetidae	trypetidae
tryptophan	tryptophan
tryst	hẹn hò
trysting	hẹn hò
tsar	sa hoàng
tsimshian	tsimshian
tsouic	tsouic
tsuga	tsuga
tsungli	tsungli
tsushima	sóng thần
tswana	tswana
tu	tu
tua	tua
tuareg	tuareg
tuatara	tuatara
tub	bồn tắm
tub-thumper	bồn tắm
tuba	kèn ống
tubal	ống dẫn trứng
tubam	bồn tắm
tubate	ống dẫn trứng
tube	ống
tubed	có ống
tubeless	không săm
tuber	củ
tuberaceae	họ củ
tuberales	củ hành
tubercle	bệnh lao
tubercular	bệnh lao
tubercularia	bệnh lao
tuberculariaceae	họ củ
tuberculin	lao tố
tuberculoid	bệnh lao
tuberculosis	bệnh lao
tuberculous	bệnh lao
tuberose	hoa huệ
tuberosity	củ
tuberous	củ
tubman	người đánh bồn
tubocurarine	tubocurarin
tubular	hình ống
tubulated	hình ống
tubule	hình ống
tubulidentata	tubulidentata
tubulous	hình ống
tucana	cá ngừ
tuck	gài
tucked	gài
tucker	người giấu đồ
tucson	tucson
tudor	tudor
tuen	tuềnh toàng
tuesday	Thứ ba
tuft	búi tóc
tufted	chần
tufthunter	thợ săn tufthunter
tufthunting	nghề săn mồi
tug	sự kéo mạnh
tug-of-war	kéo co
tugboat	tàu kéo
tugela	tugela
tugend	kéo dài
tugrik	tugrik
tuille	vải tuyn
tuition	học phí
tularemia	bệnh sốt thỏ
tulip	hoa tulip
tulipa	hoa tulip
tulipwood	gỗ hoa tulip
tulit	tulit
tulle	vải tuyn
tullian	tullian
tulostoma	khối u
tulostomaceae	họ tulostomaceae
tulostomatales	khí khổng
tulsa	tulsa
tulu	tulu
tumble	nhào lộn
tumblebug	con bọ lăn
tumbledown	ngã xuống đất
tumbler	cái cốc
tumblewed	nhào lộn
tumbleweed	cỏ lau
tumbling	nhào lộn
tumbrel	cái ô
tumefacient	nước bọt
tumefaction	sự sưng tấy
tumefying	làm đầy
tumescence	sự sôi sục
tumid	sưng lên
tumor	khối u
tumour	khối u
